num	comparison-name	block-type	fixed-constraint	comparison-name-test	block-type-test	fixed-constraint-test	level	patient	data-type	filter	probe-name	channel	channel-name	classifier	tmin	tmax	decimate
54	sonority	auditory					phone	479_25	macro	high-gamma	RASTG			logistic	-0.2	0.5	10
55	manner_of_articulation	auditory					phone	482	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
56	manner_of_articulation	auditory					phone	482	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
57	manner_of_articulation	auditory					phone	482	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
58	place_of_articulation	auditory					phone	482	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
59	place_of_articulation	auditory					phone	482	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
60	place_of_articulation	auditory					phone	482	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
61	sonority	auditory					phone	482	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
62	sonority	auditory					phone	482	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
63	sonority	auditory					phone	482	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
64	manner_of_articulation	auditory					phone	487	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
65	manner_of_articulation	auditory					phone	487	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
66	manner_of_articulation	auditory					phone	487	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
67	place_of_articulation	auditory					phone	487	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
68	place_of_articulation	auditory					phone	487	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
69	place_of_articulation	auditory					phone	487	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
70	sonority	auditory					phone	487	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
71	sonority	auditory					phone	487	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
72	sonority	auditory					phone	487	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
73	manner_of_articulation	auditory					phone	505	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
74	manner_of_articulation	auditory					phone	505	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
75	manner_of_articulation	auditory					phone	505	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
76	place_of_articulation	auditory					phone	505	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
77	place_of_articulation	auditory					phone	505	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
78	place_of_articulation	auditory					phone	505	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
79	sonority	auditory					phone	505	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
80	sonority	auditory					phone	505	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
81	sonority	auditory					phone	505	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
82	manner_of_articulation	auditory					phone	505	spike	gaussian-kernel	RSTG			logistic	-0.2	0.5	10
83	manner_of_articulation	auditory					phone	505	micro	high-gamma	RSTG			logistic	-0.2	0.5	10
84	manner_of_articulation	auditory					phone	505	macro	high-gamma	RSTG			logistic	-0.2	0.5	10
85	place_of_articulation	auditory					phone	505	spike	gaussian-kernel	RSTG			logistic	-0.2	0.5	10
86	place_of_articulation	auditory					phone	505	micro	high-gamma	RSTG			logistic	-0.2	0.5	10
87	place_of_articulation	auditory					phone	505	macro	high-gamma	RSTG			logistic	-0.2	0.5	10
88	sonority	auditory					phone	505	spike	gaussian-kernel	RSTG			logistic	-0.2	0.5	10
89	sonority	auditory					phone	505	micro	high-gamma	RSTG			logistic	-0.2	0.5	10
90	sonority	auditory					phone	505	macro	high-gamma	RSTG			logistic	-0.2	0.5	10
91	manner_of_articulation	auditory					phone	515	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
92	manner_of_articulation	auditory					phone	515	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
93	manner_of_articulation	auditory					phone	515	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
94	place_of_articulation	auditory					phone	515	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
95	place_of_articulation	auditory					phone	515	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
96	place_of_articulation	auditory					phone	515	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
97	sonority	auditory					phone	515	spike	gaussian-kernel	LSTG			logistic	-0.2	0.5	10
98	sonority	auditory					phone	515	micro	high-gamma	LSTG			logistic	-0.2	0.5	10
99	sonority	auditory					phone	515	macro	high-gamma	LSTG			logistic	-0.2	0.5	10
100	manner_of_articulation	auditory					phone	515	spike	gaussian-kernel	LMTG			logistic	-0.2	0.5	10
101	manner_of_articulation	auditory					phone	515	micro	high-gamma	LMTG			logistic	-0.2	0.5	10
102	manner_of_articulation	auditory					phone	515	macro	high-gamma	LMTG			logistic	-0.2	0.5	10
103	place_of_articulation	auditory					phone	515	spike	gaussian-kernel	LMTG			logistic	-0.2	0.5	10
104	place_of_articulation	auditory					phone	515	micro	high-gamma	LMTG			logistic	-0.2	0.5	10
105	place_of_articulation	auditory					phone	515	macro	high-gamma	LMTG			logistic	-0.2	0.5	10
106	sonority	auditory					phone	515	spike	gaussian-kernel	LMTG			logistic	-0.2	0.5	10
107	sonority	auditory					phone	515	micro	high-gamma	LMTG			logistic	-0.2	0.5	10
108	sonority	auditory					phone	515	macro	high-gamma	LMTG			logistic	-0.2	0.5	10
